,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
35,['2022-47'],['442.758kWh'],['0.579kWh/kW'],['-'],"['0,00 CHF']",['38.456kWh'],['84.662kWh'],['63.251kWh'],['21/11/22 - 27/11/22']
36,['2022-46'],['367.261kWh'],['0.480kWh/kW'],['-'],"['0,00 CHF']",['28.755kWh'],['77.572kWh'],['52.465kWh'],['14/11/22 - 20/11/22']
37,['2022-45'],['390.585kWh'],['0.511kWh/kW'],['-'],"['0,00 CHF']",['14.022kWh'],['112.860kWh'],['55.797kWh'],['07/11/22 - 13/11/22']
38,['2022-44'],['478.360kWh'],['0.626kWh/kW'],['-'],"['0,00 CHF']",['48.897kWh'],['93.742kWh'],['68.337kWh'],['31/10/22 - 06/11/22']
39,['2022-43'],['704.653kWh'],['0.922kWh/kW'],['-'],"['0,00 CHF']",['26.722kWh'],['126.701kWh'],['100.664kWh'],['24/10/22 - 30/10/22']
40,['2022-42'],['677.002kWh'],['0.886kWh/kW'],['-'],"['0,00 CHF']",['30.950kWh'],['164.555kWh'],['96.714kWh'],['17/10/22 - 23/10/22']
41,['2022-41'],['715.234kWh'],['0.936kWh/kW'],['-'],"['0,00 CHF']",['40.691kWh'],['146.619kWh'],['102.176kWh'],['10/10/22 - 16/10/22']
42,['2022-40'],['1.174MWh'],['1.536kWh/kW'],['-'],"['0,00 CHF']",['56.324kWh'],['270.920kWh'],['167.711kWh'],['03/10/22 - 09/10/22']
43,['2022-39'],['718.540kWh'],['0.940kWh/kW'],['-'],"['0,00 CHF']",['37.893kWh'],['161.215kWh'],['102.648kWh'],['26/09/22 - 02/10/22']
44,['2022-38'],['1.595MWh'],['2.087kWh/kW'],['-'],"['0,00 CHF']",['70.728kWh'],['323.609kWh'],['227.916kWh'],['19/09/22 - 25/09/22']
45,['2022-37'],['1.284MWh'],['1.680kWh/kW'],['-'],"['0,00 CHF']",['87.262kWh'],['296.440kWh'],['183.488kWh'],['12/09/22 - 18/09/22']
46,['2022-36'],['1.599MWh'],['2.091kWh/kW'],['-'],"['0,00 CHF']",['110.321kWh'],['287.225kWh'],['228.370kWh'],['05/09/22 - 11/09/22']
47,['2022-35'],['1.861MWh'],['2.435kWh/kW'],['-'],"['0,00 CHF']",['121.537kWh'],['353.661kWh'],['265.883kWh'],['29/08/22 - 04/09/22']
