,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
90,['17/10/17'],['48.241kWh'],['5.182kWh/kW'],['48.241kWh'],['7.016kW'],['1:15PM'],['Fine'],,['Updated 00:19 UTC+2:00']
91,['16/10/17'],['47.203kWh'],['5.070kWh/kW'],['47.203kWh'],['6.964kW'],['1:10PM'],['Fine'],,['Updated 00:13 UTC+2:00']
92,['15/10/17'],['47.890kWh'],['5.144kWh/kW'],['47.890kWh'],['6.989kW'],['1:05PM'],['Fine'],,['Updated 00:21 UTC+2:00']
93,['14/10/17'],['46.600kWh'],['5.005kWh/kW'],['46.600kWh'],['6.868kW'],['1:10PM'],['Fine'],,['Updated 00:20 UTC+2:00']
94,['13/10/17'],['47.967kWh'],['5.152kWh/kW'],['47.967kWh'],['6.992kW'],['1:10PM'],['Fine'],,['Updated 00:18 UTC+2:00']
95,['12/10/17'],['42.857kWh'],['4.603kWh/kW'],['42.857kWh'],['7.154kW'],['11:25AM'],['Fine'],,['Updated 00:16 UTC+2:00']
96,['11/10/17'],['49.634kWh'],['5.331kWh/kW'],['49.634kWh'],['7.188kW'],['1:20PM'],['Fine'],,['Updated 03:53 UTC+2:00']
97,['10/10/17'],['47.259kWh'],['5.076kWh/kW'],['47.259kWh'],['7.194kW'],['1:15PM'],['Fine'],,['Updated 00:19 UTC+2:00']
98,['09/10/17'],['22.750kWh'],['2.444kWh/kW'],['22.750kWh'],['7.931kW'],['1:45PM'],['Fine'],,['Updated 11:29 UTC+2:00']
99,['08/10/17'],['25.324kWh'],['2.720kWh/kW'],['25.324kWh'],['7.807kW'],['11:45AM'],['Fine'],,['Updated 00:15 UTC+2:00']
100,['07/10/17'],['44.091kWh'],['4.736kWh/kW'],['44.091kWh'],['7.844kW'],['1:50PM'],['Fine'],,['Updated 00:12 UTC+2:00']
101,['06/10/17'],['25.681kWh'],['2.758kWh/kW'],['25.681kWh'],['7.261kW'],['11:50AM'],['Fine'],,['Updated 00:21 UTC+2:00']
102,['05/10/17'],['51.279kWh'],['5.508kWh/kW'],['51.279kWh'],['7.392kW'],['1:05PM'],['Fine'],,['Updated 00:19 UTC+2:00']
103,['04/10/17'],['24.997kWh'],['2.685kWh/kW'],['24.997kWh'],['4.904kW'],['2:00PM'],['Fine'],,['Updated 00:17 UTC+2:00']
104,['03/10/17'],['25.628kWh'],['2.753kWh/kW'],['25.628kWh'],['6.964kW'],['3:10PM'],['Fine'],,['Updated 00:14 UTC+2:00']
105,['02/10/17'],['8.184kWh'],['0.879kWh/kW'],['8.184kWh'],['2.343kW'],['2:00PM'],['Cloudy'],,['Updated 00:12 UTC+2:00']
106,['01/10/17'],['36.536kWh'],['3.924kWh/kW'],['36.536kWh'],['8.142kW'],['12:40PM'],['Fine'],,['Updated 00:21 UTC+2:00']
107,['30/09/17'],['13.621kWh'],['1.463kWh/kW'],['13.621kWh'],['5.148kW'],['10:30AM'],['Mostly Cloudy'],,['Updated 23:20 UTC+2:00']
108,['29/09/17'],['41.880kWh'],['4.498kWh/kW'],['41.880kWh'],['7.264kW'],['12:45PM'],['Fine'],,['Updated 00:19 UTC+2:00']
109,['28/09/17'],['30.714kWh'],['3.299kWh/kW'],['30.714kWh'],['7.318kW'],['12:35PM'],['Fine'],,['Updated 00:17 UTC+2:00']
110,['27/09/17'],['41.001kWh'],['4.404kWh/kW'],['41.001kWh'],['7.994kW'],['12:10PM'],['Fine'],,['Updated 00:15 UTC+2:00']
