,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
102,['11/05/19'],['88.911kWh'],['2.526kWh/kW'],['-'],['23.471kW'],['1:15PM'],['Mostly Cloudy'],,['Updated 06:17 UTC+2:00']
103,['10/05/19'],['127.554kWh'],['3.624kWh/kW'],['-'],['23.311kW'],['2:15PM'],['Mostly Cloudy'],,['Updated 06:41 UTC+2:00']
104,['09/05/19'],['100.819kWh'],['2.864kWh/kW'],['-'],['22.357kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 06:18 UTC+2:00']
105,['08/05/19'],['21.990kWh'],['0.625kWh/kW'],['-'],['4.013kW'],['12:25PM'],['Showers'],,['Updated 06:28 UTC+2:00']
106,['07/05/19'],['162.027kWh'],['4.603kWh/kW'],['-'],['20.936kW'],['2:10PM'],['Partly Cloudy'],,['Updated 06:22 UTC+2:00']
107,['06/05/19'],['158.142kWh'],['4.493kWh/kW'],['-'],['25.012kW'],['2:05PM'],['Partly Cloudy'],,['Updated 06:14 UTC+2:00']
108,['05/05/19'],['123.889kWh'],['3.520kWh/kW'],['-'],['24.070kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
109,['04/05/19'],['69.145kWh'],['1.964kWh/kW'],['-'],['22.499kW'],['2:10PM'],['Cloudy'],,['Updated 06:12 UTC+2:00']
110,['03/05/19'],['133.589kWh'],['3.795kWh/kW'],['-'],['23.110kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
111,['02/05/19'],['79.557kWh'],['2.260kWh/kW'],['-'],['20.129kW'],['2:55PM'],['Cloudy'],,['Updated 06:16 UTC+2:00']
112,['01/05/19'],['175.994kWh'],['5.000kWh/kW'],['-'],['20.191kW'],['2:15PM'],['Partly Cloudy'],,['Updated 06:16 UTC+2:00']
113,['30/04/19'],['179.115kWh'],['5.088kWh/kW'],['-'],['22.668kW'],['2:15PM'],['Fine'],,['Updated 06:16 UTC+2:00']
114,['29/04/19'],['135.326kWh'],['3.844kWh/kW'],['-'],['25.051kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 06:15 UTC+2:00']
115,['28/04/19'],['85.797kWh'],['2.437kWh/kW'],['-'],['22.026kW'],['12:15PM'],['Cloudy'],,['Updated 06:16 UTC+2:00']
116,['27/04/19'],['102.292kWh'],['2.906kWh/kW'],['-'],['22.688kW'],['12:40PM'],['Mostly Cloudy'],,['Updated 06:18 UTC+2:00']
117,['26/04/19'],['101.125kWh'],['2.873kWh/kW'],['-'],['20.282kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
118,['25/04/19'],['119.189kWh'],['3.386kWh/kW'],['-'],['20.053kW'],['12:10PM'],['Mostly Cloudy'],,['Updated 06:14 UTC+2:00']
119,['24/04/19'],['95.022kWh'],['2.699kWh/kW'],['-'],['17.226kW'],['11:25AM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
120,['23/04/19'],['110.767kWh'],['3.147kWh/kW'],['-'],['19.338kW'],['2:10PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
121,['22/04/19'],['143.372kWh'],['4.073kWh/kW'],['-'],['19.477kW'],['1:00PM'],['Partly Cloudy'],,['Updated 06:14 UTC+2:00']
122,['21/04/19'],['107.298kWh'],['3.048kWh/kW'],['-'],['22.278kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 06:19 UTC+2:00']
123,['20/04/19'],['159.181kWh'],['4.522kWh/kW'],['-'],['19.128kW'],['2:20PM'],['Partly Cloudy'],,['Updated 06:16 UTC+2:00']
124,['19/04/19'],['131.151kWh'],['3.726kWh/kW'],['-'],['21.085kW'],['2:55PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
125,['18/04/19'],['148.381kWh'],['4.215kWh/kW'],['-'],['19.067kW'],['2:15PM'],['Partly Cloudy'],,['Updated 06:13 UTC+2:00']
126,['17/04/19'],['140.431kWh'],['3.990kWh/kW'],['-'],['21.420kW'],['2:25PM'],['Mostly Cloudy'],,['Updated 06:15 UTC+2:00']
127,['16/04/19'],['78.867kWh'],['2.241kWh/kW'],['-'],['12.743kW'],['1:55PM'],['Cloudy'],,['Updated 06:16 UTC+2:00']
128,['15/04/19'],['150.512kWh'],['4.276kWh/kW'],['-'],['19.517kW'],['2:25PM'],['Partly Cloudy'],,['Updated 06:21 UTC+2:00']
129,['14/04/19'],['152.000kWh'],['4.318kWh/kW'],['-'],['22.572kW'],['2:40PM'],['Partly Cloudy'],,['Updated 06:23 UTC+2:00']
130,['13/04/19'],['113.614kWh'],['3.228kWh/kW'],['-'],['20.462kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 06:39 UTC+2:00']
131,['12/04/19'],['153.761kWh'],['4.368kWh/kW'],['-'],['20.281kW'],['2:25PM'],['Partly Cloudy'],,['Updated 06:14 UTC+2:00']
132,['11/04/19'],['89.367kWh'],['2.539kWh/kW'],['-'],['21.392kW'],['1:55PM'],['Mostly Cloudy'],,['Updated 06:14 UTC+2:00']
133,['10/04/19'],['141.918kWh'],['4.032kWh/kW'],['-'],['20.504kW'],['2:25PM'],['Partly Cloudy'],,['Updated 00:06 UTC+2:00']
134,['09/04/19'],['147.334kWh'],['4.186kWh/kW'],['-'],['19.979kW'],['2:30PM'],['Partly Cloudy'],,['Updated 06:15 UTC+2:00']
135,['08/04/19'],['101.513kWh'],['2.884kWh/kW'],['-'],['20.992kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 06:16 UTC+2:00']
136,['07/04/19'],['52.379kWh'],['1.488kWh/kW'],['-'],['8.377kW'],['3:40PM'],['Cloudy'],,['Updated 07:25 UTC+2:00']
137,['06/04/19'],['92.958kWh'],['2.641kWh/kW'],['-'],['16.979kW'],['3:00PM'],['Mostly Cloudy'],,['Updated 06:22 UTC+2:00']
138,['05/04/19'],['78.981kWh'],['2.244kWh/kW'],['-'],['16.793kW'],['1:40PM'],['Cloudy'],,['Updated 06:17 UTC+2:00']
139,['04/04/19'],['42.171kWh'],['1.198kWh/kW'],['-'],['8.152kW'],['2:10PM'],['Cloudy'],,['Updated 06:15 UTC+2:00']
140,['03/04/19'],['39.838kWh'],['1.132kWh/kW'],['-'],['17.700kW'],['11:25AM'],['Cloudy'],,['Updated 06:16 UTC+2:00']
141,['02/04/19'],['121.634kWh'],['3.456kWh/kW'],['-'],['18.475kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 06:15 UTC+2:00']
142,['01/04/19'],['116.842kWh'],['3.319kWh/kW'],['-'],['17.617kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 06:13 UTC+2:00']
143,['31/03/19'],['129.546kWh'],['3.680kWh/kW'],['-'],['16.756kW'],['2:25PM'],['Mostly Cloudy'],,['Updated 00:07 UTC+2:00']
144,['30/03/19'],['125.034kWh'],['3.552kWh/kW'],['-'],['15.892kW'],['12:40PM'],['Mostly Cloudy'],,['Updated 09:25 UTC+2:00']
145,['29/03/19'],['123.743kWh'],['3.515kWh/kW'],['-'],['15.920kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 05:29 UTC+1:00']
146,['1 DAY GAP'],[],[],[],[],[],[],,[]
147,['27/03/19'],['132.866kWh'],['3.775kWh/kW'],['-'],['17.710kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 00:06 UTC+1:00']
148,['26/03/19'],['104.455kWh'],['2.967kWh/kW'],['-'],['19.124kW'],['1:30PM'],['Mostly Cloudy'],,['Updated 10:51 UTC+1:00']
149,['25/03/19'],['119.308kWh'],['3.389kWh/kW'],['-'],['17.897kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 00:07 UTC+1:00']
150,['24/03/19'],['102.192kWh'],['2.903kWh/kW'],['-'],['15.208kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 08:34 UTC+1:00']
151,['23/03/19'],['120.904kWh'],['3.435kWh/kW'],['-'],['16.235kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 00:11 UTC+1:00']
152,['22/03/19'],['102.386kWh'],['2.909kWh/kW'],['-'],['12.276kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 06:09 UTC+1:00']
153,['21/03/19'],['0.121kWh'],['0.003kWh/kW'],['-'],['1.138kW'],['6:50AM'],['Showers'],,['Updated 15:01 UTC+1:00']
