,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
57,['Sep 16'],['2.108MWh'],['3.604kWh/kW'],['2.108MWh'],"['636,69 CHF']",['25.564kWh'],['102.142kWh'],['70.274kWh'],[]
58,['Aug 16'],['2.727MWh'],['4.511kWh/kW'],['2.727MWh'],"['823,56 CHF']",['22.973kWh'],['120.596kWh'],['87.968kWh'],[]
59,['Jul 16'],['2.883MWh'],['4.770kWh/kW'],['2.883MWh'],"['870,80 CHF']",['21.227kWh'],['128.823kWh'],['93.014kWh'],[]
60,['Jun 16'],['2.354MWh'],['4.024kWh/kW'],['2.354MWh'],"['710,99 CHF']",['13.904kWh'],['129.218kWh'],['78.475kWh'],[]
61,['May 16'],['2.594MWh'],['4.434kWh/kW'],['2.594MWh'],"['783,33 CHF']",['13.480kWh'],['134.525kWh'],['86.460kWh'],['Partial Month (30 days)']
62,['Apr 16'],['2.142MWh'],['3.662kWh/kW'],['2.142MWh'],"['647,02 CHF']",['18.165kWh'],['127.387kWh'],['71.414kWh'],[]
63,['Mar 16'],['1.659MWh'],['2.744kWh/kW'],['1.659MWh'],"['500,87 CHF']",['3.289kWh'],['99.155kWh'],['53.500kWh'],[]
64,['Feb 16'],['757.620kWh'],['1.340kWh/kW'],['757.620kWh'],"['228,80 CHF']",['1.576kWh'],['65.171kWh'],['26.124kWh'],[]
65,['Jan 16'],['332.616kWh'],['0.569kWh/kW'],['332.616kWh'],"['100,45 CHF']",['0.021kWh'],['41.060kWh'],['11.087kWh'],['Partial Month (30 days)']
66,['Dec 15'],['618.197kWh'],['1.023kWh/kW'],['618.197kWh'],"['186,70 CHF']",['5.384kWh'],['32.547kWh'],['19.941kWh'],[]
67,['Nov 15'],['904.520kWh'],['1.546kWh/kW'],['904.520kWh'],"['273,16 CHF']",['4.255kWh'],['58.109kWh'],['30.150kWh'],[]
68,['Oct 15'],['1.138MWh'],['1.883kWh/kW'],['541.937kWh'],"['163,67 CHF']",['8.646kWh'],['79.721kWh'],['36.715kWh'],[]
69,['Sep 15'],['2.035MWh'],['3.479kWh/kW'],['-'],"['0,00 CHF']",['23.325kWh'],['113.205kWh'],['67.848kWh'],[]
70,['Aug 15'],['2.745MWh'],['4.541kWh/kW'],['-'],"['0,00 CHF']",['29.400kWh'],['124.689kWh'],['88.549kWh'],[]
71,['Jul 15'],['3.354MWh'],['5.548kWh/kW'],['-'],"['0,00 CHF']",['37.885kWh'],['135.677kWh'],['108.192kWh'],[]
72,['Jun 15'],['3.075MWh'],['5.256kWh/kW'],['-'],"['0,00 CHF']",['21.137kWh'],['144.645kWh'],['102.494kWh'],[]
73,['May 15'],['2.689MWh'],['4.449kWh/kW'],['-'],"['0,00 CHF']",['16.245kWh'],['139.968kWh'],['86.754kWh'],[]
