,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
99,['28/02/21'],['40.020kWh'],['2.052kWh/kW'],['40.020kWh'],['11.892kW'],['1:40PM'],['Fine'],,['Updated 18:32 UTC+1:00']
100,['27/02/21'],['41.258kWh'],['2.116kWh/kW'],['41.258kWh'],['12.108kW'],['10:30AM'],['Fine'],,['Updated 18:35 UTC+1:00']
101,['26/02/21'],['55.508kWh'],['2.847kWh/kW'],['55.508kWh'],['12.552kW'],['12:45PM'],['Fine'],,['Updated 18:19 UTC+1:00']
102,['25/02/21'],['68.974kWh'],['3.537kWh/kW'],['68.974kWh'],['11.376kW'],['11:55AM'],['Fine'],,['Updated 19:11 UTC+1:00']
103,['24/02/21'],['59.833kWh'],['3.068kWh/kW'],['59.833kWh'],['9.972kW'],['12:10PM'],['Fine'],,['Updated 18:26 UTC+1:00']
104,['23/02/21'],['59.163kWh'],['3.034kWh/kW'],['59.163kWh'],['9.924kW'],['12:10PM'],['Fine'],,['Updated 18:28 UTC+1:00']
105,['22/02/21'],['52.170kWh'],['2.675kWh/kW'],['52.170kWh'],['10.260kW'],['1:50PM'],['Fine'],,['Updated 18:39 UTC+1:00']
106,['21/02/21'],['63.064kWh'],['3.234kWh/kW'],['63.064kWh'],['11.760kW'],['12:15PM'],['Fine'],,['Updated 18:25 UTC+1:00']
107,['20/02/21'],['64.376kWh'],['3.301kWh/kW'],['64.376kWh'],['11.280kW'],['12:10PM'],['Fine'],,['Updated 18:53 UTC+1:00']
108,['1 DAY GAP'],[],[],[],[],[],[],,[]
109,['18/02/21'],['31.727kWh'],['1.627kWh/kW'],['31.727kWh'],['9.108kW'],['12:20PM'],['Fine'],,['Updated 18:34 UTC+1:00']
110,['2 DAY GAP'],[],[],[],[],[],[],,[]
111,['15/02/21'],['1.135kWh'],['0.058kWh/kW'],['1.135kWh'],['0.384kW'],['12:10PM'],['Showers'],,['Updated 17:52 UTC+1:00']
112,['14/02/21'],['2.412kWh'],['0.124kWh/kW'],['2.412kWh'],['0.504kW'],['12:10PM'],['Showers'],,['Updated 17:05 UTC+1:00']
113,['13/02/21'],['1.473kWh'],['0.076kWh/kW'],['1.473kWh'],['0.468kW'],['12:40PM'],['Showers'],,['Updated 16:49 UTC+1:00']
114,['12/02/21'],['0.873kWh'],['0.045kWh/kW'],['0.873kWh'],['0.300kW'],['12:45PM'],['Showers'],,['Updated 18:14 UTC+1:00']
