,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
56,['09/08/23'],['47.638kWh'],['3.201kWh/kW'],['-'],['8.376kW'],['3:50PM'],['Mostly Cloudy'],,['Updated 00:17 UTC+2:00']
57,['08/08/23'],['60.244kWh'],['4.049kWh/kW'],['-'],['9.948kW'],['1:05PM'],['Partly Cloudy'],,['Updated 00:23 UTC+2:00']
58,['07/08/23'],['49.657kWh'],['3.337kWh/kW'],['-'],['11.688kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
59,['06/08/23'],['38.071kWh'],['2.559kWh/kW'],['-'],['6.948kW'],['3:05PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
60,['05/08/23'],['59.501kWh'],['3.999kWh/kW'],['-'],['12.672kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 00:20 UTC+2:00']
61,['04/08/23'],['45.647kWh'],['3.068kWh/kW'],['-'],['11.220kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 00:25 UTC+2:00']
62,['03/08/23'],['54.364kWh'],['3.653kWh/kW'],['-'],['10.080kW'],['3:25PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
63,['02/08/23'],['69.962kWh'],['4.702kWh/kW'],['-'],['12.168kW'],['1:05PM'],['Partly Cloudy'],,['Updated 00:29 UTC+2:00']
64,['01/08/23'],['28.089kWh'],['1.888kWh/kW'],['-'],['6.156kW'],['5:35PM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
65,['31/07/23'],['68.846kWh'],['4.627kWh/kW'],['-'],['11.820kW'],['2:20PM'],['Partly Cloudy'],,['Updated 00:23 UTC+2:00']
66,['30/07/23'],['78.548kWh'],['5.279kWh/kW'],['-'],['11.292kW'],['1:25PM'],['Fine'],,['Updated 00:26 UTC+2:00']
67,['29/07/23'],['30.888kWh'],['2.076kWh/kW'],['-'],['9.588kW'],['11:50AM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
68,['28/07/23'],['31.624kWh'],['2.125kWh/kW'],['-'],['5.628kW'],['9:50AM'],['Cloudy'],,['Updated 00:29 UTC+2:00']
69,['27/07/23'],['60.734kWh'],['4.082kWh/kW'],['-'],['8.556kW'],['5:10PM'],['Partly Cloudy'],,['Updated 00:20 UTC+2:00']
70,['26/07/23'],['57.727kWh'],['3.880kWh/kW'],['-'],['10.464kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
71,['25/07/23'],['48.373kWh'],['3.251kWh/kW'],['-'],['8.412kW'],['3:05PM'],['Mostly Cloudy'],,['Updated 04:17 UTC+2:00']
72,['24/07/23'],['40.385kWh'],['2.714kWh/kW'],['-'],['10.968kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 00:58 UTC+2:00']
73,['23/07/23'],['71.441kWh'],['4.801kWh/kW'],['-'],['10.896kW'],['1:40PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
74,['22/07/23'],['63.951kWh'],['4.298kWh/kW'],['-'],['10.140kW'],['3:50PM'],['Partly Cloudy'],,['Updated 00:29 UTC+2:00']
75,['21/07/23'],['46.039kWh'],['3.094kWh/kW'],['-'],['10.740kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 00:20 UTC+2:00']
76,['20/07/23'],['73.303kWh'],['4.926kWh/kW'],['-'],['11.148kW'],['2:50PM'],['Partly Cloudy'],,['Updated 00:27 UTC+2:00']
77,['19/07/23'],['88.063kWh'],['5.918kWh/kW'],['-'],['10.560kW'],['1:20PM'],['Fine'],,['Updated 00:27 UTC+2:00']
78,['18/07/23'],['60.023kWh'],['4.034kWh/kW'],['-'],['9.756kW'],['12:10PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
79,['17/07/23'],['82.524kWh'],['5.546kWh/kW'],['-'],['10.596kW'],['12:50PM'],['Fine'],,['Updated 00:23 UTC+2:00']
80,['16/07/23'],['62.859kWh'],['4.224kWh/kW'],['-'],['10.212kW'],['3:20PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
81,['15/07/23'],['74.293kWh'],['4.993kWh/kW'],['-'],['10.452kW'],['2:20PM'],['Partly Cloudy'],,['Updated 00:17 UTC+2:00']
82,['14/07/23'],['87.116kWh'],['5.855kWh/kW'],['-'],['10.848kW'],['11:50AM'],['Fine'],,['Updated 00:19 UTC+2:00']
83,['13/07/23'],['75.297kWh'],['5.060kWh/kW'],['-'],['11.232kW'],['2:35PM'],['Fine'],,['Updated 00:21 UTC+2:00']
84,['12/07/23'],['34.595kWh'],['2.325kWh/kW'],['-'],['6.888kW'],['11:25AM'],['Cloudy'],,['Updated 00:22 UTC+2:00']
85,['11/07/23'],['78.445kWh'],['5.272kWh/kW'],['-'],['10.260kW'],['12:50PM'],['Fine'],,['Updated 00:22 UTC+2:00']
86,['10/07/23'],['67.484kWh'],['4.535kWh/kW'],['-'],['10.116kW'],['2:05PM'],['Partly Cloudy'],,['Updated 00:25 UTC+2:00']
87,['09/07/23'],['86.002kWh'],['5.780kWh/kW'],['-'],['10.692kW'],['1:10PM'],['Fine'],,['Updated 00:27 UTC+2:00']
88,['08/07/23'],['62.772kWh'],['4.219kWh/kW'],['-'],['11.532kW'],['1:35PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
89,['07/07/23'],['90.482kWh'],['6.081kWh/kW'],['-'],['10.536kW'],['12:50PM'],['Fine'],,['Updated 00:28 UTC+2:00']
90,['06/07/23'],['79.933kWh'],['5.372kWh/kW'],['-'],['11.448kW'],['1:05PM'],['Fine'],,['Updated 00:29 UTC+2:00']
91,['05/07/23'],['64.517kWh'],['4.336kWh/kW'],['-'],['9.444kW'],['10:20AM'],['Partly Cloudy'],,['Updated 00:19 UTC+2:00']
92,['04/07/23'],['70.413kWh'],['4.732kWh/kW'],['-'],['11.796kW'],['3:05PM'],['Partly Cloudy'],,['Updated 00:21 UTC+2:00']
93,['03/07/23'],['61.492kWh'],['4.133kWh/kW'],['-'],['11.340kW'],['2:40PM'],['Partly Cloudy'],,['Updated 00:23 UTC+2:00']
94,['02/07/23'],['44.344kWh'],['2.980kWh/kW'],['-'],['9.492kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 00:24 UTC+2:00']
95,['01/07/23'],['57.057kWh'],['3.834kWh/kW'],['-'],['9.324kW'],['10:35AM'],['Mostly Cloudy'],,['Updated 00:25 UTC+2:00']
96,['30/06/23'],['26.334kWh'],['1.770kWh/kW'],['-'],['5.208kW'],['4:20PM'],['Cloudy'],,['Updated 00:27 UTC+2:00']
97,['29/06/23'],['66.193kWh'],['4.448kWh/kW'],['-'],['9.924kW'],['12:35PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
98,['28/06/23'],['77.582kWh'],['5.214kWh/kW'],['-'],['10.464kW'],['1:55PM'],['Fine'],,['Updated 00:16 UTC+2:00']
99,['27/06/23'],['80.819kWh'],['5.431kWh/kW'],['-'],['10.080kW'],['1:50PM'],['Fine'],,['Updated 00:18 UTC+2:00']
100,['26/06/23'],['87.551kWh'],['5.884kWh/kW'],['-'],['10.992kW'],['12:50PM'],['Fine'],,['Updated 00:24 UTC+2:00']
101,['25/06/23'],['91.758kWh'],['6.167kWh/kW'],['-'],['10.500kW'],['1:10PM'],['Fine'],,['Updated 00:26 UTC+2:00']
102,['24/06/23'],['94.787kWh'],['6.370kWh/kW'],['-'],['11.112kW'],['1:50PM'],['Fine'],,['Updated 00:16 UTC+2:00']
103,['23/06/23'],['84.439kWh'],['5.675kWh/kW'],['-'],['11.352kW'],['1:05PM'],['Fine'],,['Updated 00:23 UTC+2:00']
104,['22/06/23'],['40.458kWh'],['2.719kWh/kW'],['-'],['7.608kW'],['10:40AM'],['Mostly Cloudy'],,['Updated 00:16 UTC+2:00']
105,['21/06/23'],['52.798kWh'],['3.548kWh/kW'],['-'],['10.128kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
106,['20/06/23'],['77.166kWh'],['5.186kWh/kW'],['-'],['10.200kW'],['2:05PM'],['Fine'],,['Updated 00:16 UTC+2:00']
107,['19/06/23'],['77.465kWh'],['5.206kWh/kW'],['-'],['10.740kW'],['12:50PM'],['Fine'],,['Updated 00:27 UTC+2:00']
108,['18/06/23'],['73.580kWh'],['4.945kWh/kW'],['-'],['11.508kW'],['2:05PM'],['Partly Cloudy'],,['Updated 00:15 UTC+2:00']
109,['17/06/23'],['78.173kWh'],['5.254kWh/kW'],['-'],['10.260kW'],['11:50AM'],['Fine'],,['Updated 00:20 UTC+2:00']
110,['16/06/23'],['89.187kWh'],['5.994kWh/kW'],['-'],['11.388kW'],['12:50PM'],['Fine'],,['Updated 00:23 UTC+2:00']
111,['15/06/23'],['84.547kWh'],['5.682kWh/kW'],['-'],['11.748kW'],['12:50PM'],['Fine'],,['Updated 00:26 UTC+2:00']
